#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
 198000      1.63e+00      2.23e-02      5.77e-02    7.9e-04
 200000      1.34e-01      8.62e-03      4.82e-03    7.5e-04
 202000      6.12e-02      1.68e-03      2.22e-03    7.5e-04
 204000      1.03e+00      2.50e-01      5.82e-03    7.5e-04
 206000      8.41e-02      6.86e-03      2.98e-03    7.5e-04
 208000      3.27e-01      7.62e-02      3.86e-03    7.5e-04
 210000      4.51e-01      8.36e-02      1.39e-02    7.5e-04
 212000      5.24e-01      1.28e-01      2.75e-03    7.5e-04
 214000      3.33e-01      1.19e-02      1.20e-02    7.5e-04
 216000      7.71e-02      1.09e-02      2.57e-03    7.5e-04
 218000      9.15e-01      6.56e-04      3.34e-02    7.5e-04
 220000      4.70e-01      6.96e-02      1.55e-02    7.5e-04
 222000      5.37e-01      4.78e-02      1.83e-02    7.5e-04
 224000      1.28e-01      2.20e-02      3.35e-03    7.5e-04
 226000      6.97e-01      7.72e-03      2.54e-02    7.5e-04
 228000      6.13e-01      2.18e-03      2.24e-02    7.5e-04
 230000      5.41e+00      2.96e-02      1.97e-01    7.5e-04
 232000      1.11e+00      3.79e-03      4.06e-02    7.5e-04
 234000      3.99e-02      8.01e-03      8.41e-04    7.5e-04
 236000      7.98e-01      3.86e-04      2.91e-02    7.5e-04
 238000      1.43e-01      2.63e-03      5.23e-03    7.5e-04
 240000      2.04e-01      2.18e-02      7.24e-03    7.1e-04
 242000      2.11e-01      7.08e-03      7.84e-03    7.1e-04
 244000      5.47e-01      1.90e-02      2.03e-02    7.1e-04
 246000      7.82e-01      1.39e-02      2.94e-02    7.1e-04
 248000      5.48e-01      1.61e-01      8.64e-03    7.1e-04
 250000      3.28e-01      9.31e-02      5.87e-03    7.1e-04
 252000      1.34e-01      5.66e-03      4.98e-03    7.1e-04
 254000      2.49e-01      4.93e-02      4.65e-03    7.1e-04
 256000      8.64e-01      1.61e-02      3.24e-02    7.1e-04
 258000      3.36e-01      1.05e-02      1.26e-02    7.1e-04
 260000      1.50e-01      2.29e-02      4.20e-03    7.1e-04
 262000      5.56e-01      8.10e-03      2.09e-02    7.1e-04
 264000      7.58e-01      3.34e-02      2.82e-02    7.1e-04
 266000      1.18e-01      3.32e-02      2.18e-03    7.1e-04
 268000      4.13e-01      3.49e-03      1.55e-02    7.1e-04
 270000      5.19e-01      9.66e-02      1.13e-02    7.1e-04
 272000      1.34e-01      1.58e-03      5.03e-03    7.1e-04
 274000      3.09e-01      5.65e-02      9.56e-03    7.1e-04
 276000      5.23e-01      1.52e-02      1.96e-02    7.1e-04
 278000      3.13e-01      1.12e-02      1.17e-02    7.1e-04
 280000      9.87e-01      1.03e-02      3.82e-02    6.7e-04
 282000      8.20e-01      1.85e-02      3.16e-02    6.7e-04
 284000      8.31e-02      2.36e-02      1.14e-03    6.7e-04
 286000      8.89e-01      6.75e-03      3.44e-02    6.7e-04
 288000      1.78e-01      2.79e-02      5.89e-03    6.7e-04
 290000      1.80e-01      1.35e-02      6.75e-03    6.7e-04
 292000      4.72e-01      2.84e-03      1.82e-02    6.7e-04
 294000      9.22e-01      9.05e-03      3.56e-02    6.7e-04
 296000      1.33e-01      3.71e-03      5.10e-03    6.7e-04
 298000      7.45e-01      1.03e-02      2.88e-02    6.7e-04
 300000      8.76e-01      3.42e-02      3.33e-02    6.7e-04
 302000      2.34e-01      3.92e-02      7.53e-03    6.7e-04
 304000      2.60e-01      2.68e-02      8.81e-03    6.7e-04
 306000      9.51e-01      1.17e-02      3.68e-02    6.7e-04
 308000      2.52e-01      1.95e-02      9.42e-03    6.7e-04
 310000      8.26e-02      4.66e-03      3.14e-03    6.7e-04
 312000      1.30e+00      6.36e-02      4.96e-02    6.7e-04
 314000      9.89e-02      8.04e-03      3.54e-03    6.7e-04
 316000      7.87e-01      3.43e-02      2.98e-02    6.7e-04
 318000      7.06e-01      1.41e-02      2.72e-02    6.7e-04
 320000      1.30e-01      2.86e-03      5.15e-03    6.3e-04
 322000      3.74e-01      8.27e-02      9.54e-03    6.3e-04
 324000      1.77e-03      3.61e-04      2.58e-06    6.3e-04
 326000      8.11e-02      1.30e-02      2.68e-03    6.3e-04
 328000      2.45e-01      3.60e-02      6.79e-03    6.3e-04
 330000      1.48e+00      5.29e-02      5.85e-02    6.3e-04
 332000      1.20e-01      2.05e-02      2.63e-03    6.3e-04
 334000      3.57e-01      4.76e-03      1.42e-02    6.3e-04
 336000      8.60e-01      7.05e-03      3.42e-02    6.3e-04
 338000      1.45e-01      1.31e-02      5.18e-03    6.3e-04
 340000      4.29e-01      9.96e-03      1.70e-02    6.3e-04
 342000      7.42e-02      1.43e-02      2.20e-03    6.3e-04
 344000      1.15e-01      1.04e-02      4.09e-03    6.3e-04
 346000      1.57e-01      2.98e-02      4.69e-03    6.3e-04
 348000      6.79e-01      1.46e-02      2.69e-02    6.3e-04
 350000      1.45e-01      1.55e-02      4.90e-03    6.3e-04
 352000      4.46e-01      1.42e-02      1.76e-02    6.3e-04
 354000      1.82e-01      1.46e-02      6.64e-03    6.3e-04
 356000      1.39e-01      3.30e-03      5.48e-03    6.3e-04
 358000      7.73e-02      1.08e-02      2.69e-03    6.3e-04
 360000      6.93e-01      2.01e-02      2.82e-02    6.0e-04
 362000      3.39e-01      2.09e-02      1.35e-02    6.0e-04
 364000      3.13e-01      5.58e-04      1.28e-02    6.0e-04
 366000      4.65e-01      1.36e-02      1.89e-02    6.0e-04
 368000      1.34e-01      2.14e-02      4.48e-03    6.0e-04
 370000      2.44e-01      4.23e-02      4.57e-03    6.0e-04
 372000      8.17e-02      4.20e-03      3.23e-03    6.0e-04
 374000      1.54e-01      1.06e-02      5.90e-03    6.0e-04
 376000      4.26e-01      7.78e-04      1.74e-02    6.0e-04
 378000      1.92e-01      3.43e-02      3.14e-03    6.0e-04
 380000      1.81e-01      2.03e-02      6.07e-03    6.0e-04
 382000      8.57e-01      9.62e-03      3.50e-02    6.0e-04
 384000      1.10e-01      1.76e-02      3.68e-03    6.0e-04
 386000      7.62e-01      3.05e-02      3.06e-02    6.0e-04
 388000      3.18e-01      8.12e-02      4.99e-03    6.0e-04
 390000      1.07e-01      9.64e-03      3.90e-03    6.0e-04
 392000      4.07e-01      1.85e-02      1.64e-02    6.0e-04
 394000      1.73e-01      1.52e-02      6.74e-03    6.0e-04
 396000      1.05e+00      3.94e-02      4.26e-02    6.0e-04
 398000      2.06e-01      2.87e-02      7.27e-03    6.0e-04
 400000      7.79e-01      1.74e-02      3.26e-02    5.6e-04
 402000      7.05e-02      1.27e-03      2.96e-03    5.6e-04
 404000      2.21e-01      6.57e-03      9.20e-03    5.6e-04
 406000      6.54e-01      5.36e-04      2.76e-02    5.6e-04
 408000      8.71e-01      2.14e-04      3.67e-02    5.6e-04
 410000      4.15e-01      7.19e-03      1.74e-02    5.6e-04
 412000      2.87e-01      5.33e-03      1.20e-02    5.6e-04
 414000      1.54e-01      1.87e-02      5.75e-03    5.6e-04
 416000      1.48e-01      1.92e-02      4.49e-03    5.6e-04
 418000      1.10e-01      2.06e-02      3.51e-04    5.6e-04
 420000      2.29e-01      1.97e-02      8.59e-03    5.6e-04
 422000      1.49e-01      1.31e-02      5.93e-03    5.6e-04
 424000      9.32e-01      1.32e-02      3.92e-02    5.6e-04
 426000      1.05e-01      1.40e-02      3.82e-03    5.6e-04
 428000      7.69e-01      1.15e-02      3.24e-02    5.6e-04
 430000      6.90e-02      3.68e-03      2.85e-03    5.6e-04
 432000      9.74e-02      4.89e-03      4.03e-03    5.6e-04
 434000      7.95e-01      2.35e-02      3.33e-02    5.6e-04
 436000      7.61e-02      1.38e-02      8.35e-04    5.6e-04
 438000      7.80e-01      2.22e-02      3.27e-02    5.6e-04
 440000      1.57e-01      2.34e-02      3.90e-03    5.3e-04
 442000      1.33e-01      1.68e-02      4.15e-03    5.3e-04
 444000      2.75e-01      5.56e-02      7.34e-03    5.3e-04
 446000      3.27e-01      8.16e-03      1.41e-02    5.3e-04
 448000      7.17e-02      7.63e-03      2.83e-03    5.3e-04
 450000      1.49e-01      2.32e-02      3.30e-03    5.3e-04
 452000      1.05e-01      4.19e-03      4.46e-03    5.3e-04
 454000      1.15e-01      5.80e-03      4.80e-03    5.3e-04
 456000      4.07e-01      7.22e-03      1.76e-02    5.3e-04
 458000      3.18e-01      1.46e-02      1.36e-02    5.3e-04
 460000      2.87e-01      1.94e-03      1.25e-02    5.3e-04
 462000      3.39e-01      2.88e-02      1.41e-02    5.3e-04
 464000      1.90e-01      3.15e-02      3.30e-03    5.3e-04
 466000      3.71e-01      5.38e-02      1.33e-02    5.3e-04
 468000      2.04e-01      2.04e-02      7.36e-03    5.3e-04
 470000      1.80e-01      1.14e-02      7.30e-03    5.3e-04
 472000      7.15e-01      4.81e-03      3.10e-02    5.3e-04
 474000      6.77e-01      1.40e-02      2.92e-02    5.3e-04
 476000      1.73e-01      2.52e-02      4.49e-03    5.3e-04
 478000      1.75e+00      6.65e-02      7.52e-02    5.3e-04
 480000      4.86e-01      9.88e-02      1.26e-02    5.0e-04
 482000      8.67e-01      8.96e-03      3.87e-02    5.0e-04
 484000      2.36e-01      2.34e-03      1.06e-02    5.0e-04
 486000      1.23e-01      1.14e-02      5.11e-03    5.0e-04
 488000      5.15e-01      1.21e-01      7.45e-03    5.0e-04
 490000      1.63e-01      2.62e-02      3.03e-03    5.0e-04
 492000      4.40e-01      8.33e-04      1.96e-02    5.0e-04
 494000      8.58e-02      1.32e-02      1.86e-03    5.0e-04
 496000      7.46e-01      9.17e-03      3.32e-02    5.0e-04
 498000      3.42e-01      6.92e-03      1.52e-02    5.0e-04
 500000      3.26e-02      5.52e-03      3.99e-04    5.0e-04
 502000      1.59e-01      2.81e-02      5.00e-03    5.0e-04
 504000      2.92e-01      4.99e-02      3.13e-03    5.0e-04
 506000      1.97e-01      2.88e-02      7.12e-03    5.0e-04
 508000      7.21e-01      1.96e-02      3.20e-02    5.0e-04
 510000      2.19e-01      5.31e-02      2.25e-03    5.0e-04
 512000      9.35e-02      9.80e-03      3.35e-03    5.0e-04
 514000      8.57e-01      6.87e-03      3.82e-02    5.0e-04
 516000      7.00e-01      2.06e-02      3.08e-02    5.0e-04
