#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
2120000      2.06e-02      1.96e-03      1.98e-03    4.7e-05
2122000      2.35e-02      2.14e-03      2.38e-03    4.7e-05
2124000      1.57e-01      1.84e-03      2.26e-02    4.7e-05
2126000      3.85e-02      5.65e-04      5.50e-03    4.7e-05
2128000      1.10e-01      2.52e-03      1.58e-02    4.7e-05
2130000      2.00e-01      9.42e-04      2.87e-02    4.7e-05
2132000      4.33e-02      2.80e-04      6.22e-03    4.7e-05
2134000      7.86e-03      6.27e-04      8.85e-04    4.7e-05
2136000      1.78e-01      2.93e-03      2.55e-02    4.7e-05
2138000      2.24e-02      1.82e-03      2.87e-03    4.7e-05
2140000      1.14e-01      7.27e-03      1.53e-02    4.7e-05
2142000      2.48e-01      1.72e-03      3.56e-02    4.7e-05
2144000      1.51e-01      2.67e-02      4.89e-03    4.7e-05
2146000      3.01e-02      2.25e-03      3.95e-03    4.7e-05
2148000      4.14e-02      6.81e-03      2.50e-03    4.7e-05
2150000      5.04e-02      8.32e-05      7.26e-03    4.7e-05
2152000      5.14e-02      2.10e-03      7.01e-03    4.7e-05
2154000      3.08e-02      2.09e-03      4.12e-03    4.7e-05
2156000      1.94e-01      6.22e-04      2.79e-02    4.7e-05
2158000      9.62e-03      7.17e-04      1.13e-03    4.7e-05
2160000      2.16e-03      1.58e-04      2.62e-04    4.5e-05
2162000      3.76e-02      1.06e-03      5.49e-03    4.5e-05
2164000      2.46e-02      1.50e-03      3.42e-03    4.5e-05
2166000      2.15e-02      2.56e-03      1.18e-03    4.5e-05
2168000      2.75e-02      4.09e-03      2.31e-03    4.5e-05
2170000      2.68e-01      3.24e-03      3.96e-02    4.5e-05
2172000      1.34e-01      1.37e-03      1.98e-02    4.5e-05
2174000      7.98e-02      1.03e-03      1.18e-02    4.5e-05
2176000      2.14e-02      1.30e-03      2.98e-03    4.5e-05
2178000      4.18e-02      4.46e-03      3.40e-03    4.5e-05
2180000      2.58e-01      5.54e-03      3.80e-02    4.5e-05
2182000      3.59e-02      1.37e-03      5.07e-03    4.5e-05
2184000      3.34e-02      4.38e-03      3.40e-03    4.5e-05
2186000      1.80e-02      1.08e-03      2.51e-03    4.5e-05
2188000      1.61e-01      3.49e-03      2.37e-02    4.5e-05
2190000      7.94e-02      7.23e-04      1.17e-02    4.5e-05
2192000      5.22e-02      2.42e-04      7.73e-03    4.5e-05
2194000      7.85e-02      1.18e-03      1.15e-02    4.5e-05
2196000      3.07e-02      3.74e-03      1.37e-03    4.5e-05
2198000      3.40e-02      1.46e-03      4.74e-03    4.5e-05
2200000      2.91e-02      9.68e-04      4.28e-03    4.2e-05
2202000      2.23e-02      2.53e-03      2.65e-03    4.2e-05
2204000      1.72e-02      2.09e-03      7.93e-04    4.2e-05
2206000      5.93e-02      6.74e-03      7.03e-03    4.2e-05
2208000      6.83e-02      3.30e-03      9.63e-03    4.2e-05
2210000      2.06e-01      3.16e-03      3.13e-02    4.2e-05
2212000      2.05e-02      1.89e-03      2.68e-03    4.2e-05
2214000      2.76e-02      3.86e-03      2.65e-03    4.2e-05
2216000      2.42e-02      6.25e-06      3.68e-03    4.2e-05
2218000      2.62e-02      4.26e-03      1.75e-03    4.2e-05
2220000      2.00e-02      7.86e-04      2.90e-03    4.2e-05
2222000      7.49e-02      2.16e-04      1.14e-02    4.2e-05
2224000      2.28e-01      1.69e-03      3.48e-02    4.2e-05
2226000      3.38e-02      1.36e-03      5.01e-03    4.2e-05
2228000      3.01e-02      1.71e-03      4.36e-03    4.2e-05
2230000      1.76e-01      2.09e-03      2.68e-02    4.2e-05
2232000      3.37e-02      4.31e-03      3.62e-03    4.2e-05
2234000      1.68e-01      6.00e-04      2.56e-02    4.2e-05
2236000      2.31e-01      2.08e-03      3.50e-02    4.2e-05
2238000      5.55e-02      9.38e-03      3.00e-03    4.2e-05
2240000      3.11e-02      2.77e-03      4.25e-03    4.0e-05
2242000      1.85e-01      4.07e-03      2.88e-02    4.0e-05
2244000      1.59e-01      9.47e-04      2.49e-02    4.0e-05
2246000      1.29e-01      1.15e-03      2.01e-02    4.0e-05
2248000      1.56e-01      2.95e-03      2.42e-02    4.0e-05
2250000      1.81e-02      1.80e-03      1.79e-03    4.0e-05
2252000      8.23e-02      5.85e-04      1.29e-02    4.0e-05
2254000      5.39e-02      9.86e-04      8.35e-03    4.0e-05
2256000      9.06e-02      1.81e-04      1.42e-02    4.0e-05
2258000      3.36e-02      3.48e-03      4.32e-03    4.0e-05
2260000      3.11e-02      4.22e-03      3.20e-03    4.0e-05
2262000      2.23e-01      5.82e-03      3.45e-02    4.0e-05
2264000      1.76e-02      9.47e-04      2.63e-03    4.0e-05
2266000      8.90e-02      2.16e-03      1.38e-02    4.0e-05
2268000      1.29e-02      7.74e-04      1.78e-03    4.0e-05
2270000      8.06e-03      6.28e-04      9.99e-04    4.0e-05
2272000      1.04e-02      1.01e-03      1.06e-03    4.0e-05
2274000      6.40e-02      3.15e-03      9.74e-03    4.0e-05
2276000      4.27e-02      6.00e-03      4.19e-03    4.0e-05
2278000      1.86e-01      8.59e-04      2.91e-02    4.0e-05
2280000      1.81e-01      2.07e-03      2.90e-02    3.8e-05
2282000      9.50e-02      2.06e-03      1.51e-02    3.8e-05
2284000      7.52e-02      6.25e-04      1.21e-02    3.8e-05
2286000      1.36e-02      9.32e-04      2.03e-03    3.8e-05
2288000      1.59e-01      6.43e-03      2.51e-02    3.8e-05
2290000      3.65e-02      6.68e-04      5.82e-03    3.8e-05
2292000      2.64e-02      1.10e-03      4.14e-03    3.8e-05
2294000      2.69e-02      2.92e-03      3.45e-03    3.8e-05
2296000      1.25e-02      1.51e-03      6.11e-04    3.8e-05
2298000      1.60e-01      3.47e-03      2.56e-02    3.8e-05
2300000      1.60e-02      1.02e-03      2.22e-03    3.8e-05
2302000      1.31e-01      2.68e-03      2.09e-02    3.8e-05
2304000      2.30e-02      5.17e-04      3.64e-03    3.8e-05
2306000      1.37e-02      8.86e-04      2.06e-03    3.8e-05
2308000      6.80e-02      3.03e-03      1.06e-02    3.8e-05
2310000      2.33e-02      1.64e-03      3.46e-03    3.8e-05
2312000      1.63e-01      4.04e-03      2.57e-02    3.8e-05
2314000      3.00e-02      4.27e-03      2.97e-03    3.8e-05
2316000      4.17e-02      6.77e-04      6.67e-03    3.8e-05
2318000      1.44e-02      6.98e-04      2.24e-03    3.8e-05
2320000      1.41e-02      1.71e-03      6.95e-04    3.5e-05
2322000      2.26e-02      7.61e-05      3.74e-03    3.5e-05
2324000      6.18e-02      3.16e-03      9.37e-03    3.5e-05
2326000      3.67e-02      3.37e-03      5.22e-03    3.5e-05
2328000      7.49e-02      5.61e-05      1.24e-02    3.5e-05
2330000      7.46e-02      1.71e-04      1.24e-02    3.5e-05
2332000      1.42e-02      9.76e-05      2.34e-03    3.5e-05
2334000      2.27e-01      3.81e-03      3.74e-02    3.5e-05
2336000      6.61e-02      5.23e-03      9.83e-03    3.5e-05
2338000      2.15e-02      1.75e-03      2.73e-03    3.5e-05
2340000      1.67e-01      2.28e-03      2.75e-02    3.5e-05
2342000      1.13e-01      2.53e-03      1.86e-02    3.5e-05
2344000      6.60e-02      2.79e-04      1.09e-02    3.5e-05
2346000      2.73e-02      3.15e-03      1.89e-03    3.5e-05
2348000      1.65e-02      3.86e-05      2.74e-03    3.5e-05
2350000      1.60e-02      9.27e-04      2.35e-03    3.5e-05
2352000      4.28e-02      1.13e-03      7.02e-03    3.5e-05
2354000      1.76e-02      1.93e-03      1.48e-03    3.5e-05
2356000      1.87e-02      2.85e-04      3.08e-03    3.5e-05
2358000      2.14e-02      2.02e-03      3.01e-03    3.5e-05
2360000      1.50e-02      1.71e-03      1.12e-03    3.3e-05
2362000      7.32e-03      1.08e-04      1.24e-03    3.3e-05
2364000      1.70e-02      4.14e-04      2.84e-03    3.3e-05
2366000      4.98e-02      1.68e-03      8.17e-03    3.3e-05
2368000      2.02e-01      4.23e-03      3.42e-02    3.3e-05
2370000      1.03e-02      7.68e-04      1.42e-03    3.3e-05
2372000      2.51e-02      1.78e-03      3.92e-03    3.3e-05
2374000      1.20e-01      3.34e-03      2.03e-02    3.3e-05
2376000      6.90e-03      6.51e-04      7.87e-04    3.3e-05
2378000      1.47e-02      4.86e-04      2.42e-03    3.3e-05
2380000      6.81e-02      9.04e-04      1.16e-02    3.3e-05
2382000      7.90e-02      7.24e-03      1.21e-02    3.3e-05
2384000      2.26e-02      2.40e-04      3.83e-03    3.3e-05
2386000      2.15e-02      4.58e-04      3.61e-03    3.3e-05
2388000      1.61e-01      3.31e-03      2.72e-02    3.3e-05
2390000      1.39e-01      3.01e-03      2.36e-02    3.3e-05
2392000      3.68e-02      1.82e-04      6.27e-03    3.3e-05
2394000      3.24e-02      2.04e-03      5.17e-03    3.3e-05
2396000      2.77e-02      2.57e-03      3.22e-03    3.3e-05
2398000      1.59e-02      1.09e-03      2.51e-03    3.3e-05
2400000      1.58e-01      2.27e-03      2.76e-02    3.2e-05
2402000      2.65e-02      2.30e-03      4.07e-03    3.2e-05
2404000      1.39e-02      9.62e-04      2.25e-03    3.2e-05
2406000      1.87e-02      1.27e-03      2.77e-03    3.2e-05
2408000      1.56e-01      8.69e-04      2.73e-02    3.2e-05
2410000      2.04e-02      1.67e-03      2.73e-03    3.2e-05
2412000      2.47e-02      2.09e-03      3.82e-03    3.2e-05
2414000      9.23e-02      3.46e-03      1.58e-02    3.2e-05
2416000      1.05e-01      4.37e-04      1.83e-02    3.2e-05
2418000      1.44e-02      1.29e-03      1.79e-03    3.2e-05
2420000      2.06e-02      8.31e-04      3.51e-03    3.2e-05
2422000      1.96e-02      1.83e-04      3.42e-03    3.2e-05
2424000      1.95e-02      2.11e-03      2.72e-03    3.2e-05
2426000      1.66e-02      1.96e-03      1.08e-03    3.2e-05
2428000      2.83e-02      2.70e-03      4.19e-03    3.2e-05
2430000      2.68e-02      2.03e-03      4.25e-03    3.2e-05
2432000      1.32e-02      5.91e-04      2.17e-03    3.2e-05
2434000      9.50e-03      2.59e-04      1.62e-03    3.2e-05
2436000      1.99e-01      3.69e-03      3.46e-02    3.2e-05
2438000      4.10e-02      2.20e-05      7.18e-03    3.2e-05
2440000      2.33e-02      2.10e-04      4.19e-03    3.0e-05
2442000      1.10e-02      1.84e-04      1.96e-03    3.0e-05
2444000      2.63e-02      4.36e-03      1.83e-03    3.0e-05
2446000      9.37e-02      6.68e-04      1.69e-02    3.0e-05
2448000      2.08e-02      1.42e-03      3.46e-03    3.0e-05
2450000      2.04e-02      8.86e-04      3.56e-03    3.0e-05
2452000      1.43e-01      1.10e-03      2.57e-02    3.0e-05
2454000      7.11e-02      2.96e-03      1.25e-02    3.0e-05
2456000      3.73e-02      3.88e-03      5.48e-03    3.0e-05
2458000      6.06e-02      1.18e-03      1.08e-02    3.0e-05
2460000      5.74e-03      7.00e-04      2.85e-04    3.0e-05
2462000      9.49e-03      6.59e-04      1.58e-03    3.0e-05
2464000      1.14e-02      7.21e-04      1.78e-03    3.0e-05
2466000      2.34e-02      2.56e-03      2.16e-03    3.0e-05
2468000      7.82e-03      4.49e-04      1.26e-03    3.0e-05
2470000      1.59e-01      3.77e-03      2.84e-02    3.0e-05
2472000      7.79e-02      9.64e-04      1.40e-02    3.0e-05
2474000      1.49e-01      1.85e-03      2.66e-02    3.0e-05
2476000      1.52e-01      1.26e-03      2.73e-02    3.0e-05
2478000      1.81e-01      2.32e-03      3.26e-02    3.0e-05
2480000      1.10e-01      3.02e-03      2.01e-02    2.8e-05
2482000      1.61e-01      2.94e-03      2.97e-02    2.8e-05
2484000      1.74e-02      7.72e-04      3.11e-03    2.8e-05
2486000      3.70e-02      4.50e-04      6.83e-03    2.8e-05
2488000      3.53e-02      2.53e-03      5.99e-03    2.8e-05
2490000      3.17e-02      1.61e-03      5.39e-03    2.8e-05
2492000      2.00e-01      2.75e-03      3.68e-02    2.8e-05
2494000      1.96e-02      2.72e-03      2.32e-03    2.8e-05
2496000      1.07e-02      1.33e-03      4.44e-04    2.8e-05
2498000      1.63e-02      5.35e-04      2.92e-03    2.8e-05
2500000      8.27e-02      5.55e-04      1.53e-02    2.8e-05
2502000      2.79e-02      1.90e-03      4.78e-03    2.8e-05
2504000      9.75e-02      4.68e-04      1.80e-02    2.8e-05
2506000      5.36e-02      4.66e-04      9.90e-03    2.8e-05
2508000      2.18e-02      1.51e-03      3.72e-03    2.8e-05
2510000      1.56e-01      1.37e-03      2.89e-02    2.8e-05
2512000      1.04e-01      2.12e-03      1.91e-02    2.8e-05
2514000      1.32e-01      2.21e-03      2.43e-02    2.8e-05
2516000      1.28e-01      3.28e-03      2.34e-02    2.8e-05
2518000      3.89e-02      4.98e-04      7.17e-03    2.8e-05
2520000      1.82e-01      4.21e-03      3.43e-02    2.7e-05
2522000      1.14e-01      2.14e-03      2.15e-02    2.7e-05
2524000      1.06e-01      2.59e-03      1.99e-02    2.7e-05
2526000      1.28e-01      5.56e-03      2.39e-02    2.7e-05
2528000      2.54e-02      3.24e-03      3.41e-03    2.7e-05
2530000      7.55e-02      7.00e-03      1.29e-02    2.7e-05
2532000      2.50e-02      1.63e-03      4.43e-03    2.7e-05
2534000      1.45e-02      2.19e-03      1.48e-03    2.7e-05
2536000      1.45e-03      3.53e-05      2.71e-04    2.7e-05
2538000      1.61e-01      1.77e-03      3.06e-02    2.7e-05
2540000      1.75e-02      3.99e-04      3.28e-03    2.7e-05
2542000      1.28e-01      1.22e-03      2.42e-02    2.7e-05
2544000      1.80e-02      2.65e-03      1.95e-03    2.7e-05
2546000      5.23e-02      5.85e-03      4.68e-03    2.7e-05
2548000      1.54e-01      2.43e-03      2.91e-02    2.7e-05
2550000      9.27e-03      1.10e-03      6.24e-04    2.7e-05
2552000      1.47e-01      1.30e-03      2.79e-02    2.7e-05
2554000      1.81e-01      3.98e-03      3.41e-02    2.7e-05
2556000      9.41e-03      1.13e-03      5.51e-04    2.7e-05
2558000      3.86e-02      5.64e-04      7.31e-03    2.7e-05
2560000      1.21e-01      1.42e-03      2.36e-02    2.5e-05
2562000      3.03e-02      3.50e-03      4.52e-03    2.5e-05
2564000      1.22e-01      2.19e-03      2.37e-02    2.5e-05
2566000      5.49e-02      4.89e-04      1.07e-02    2.5e-05
2568000      1.05e-01      1.69e-03      2.05e-02    2.5e-05
2570000      1.57e-02      1.84e-03      2.32e-03    2.5e-05
2572000      2.22e-02      1.73e-03      3.91e-03    2.5e-05
2574000      1.02e-02      1.53e-04      1.99e-03    2.5e-05
2576000      1.16e-02      4.38e-04      2.16e-03    2.5e-05
2578000      4.04e-02      3.64e-03      6.83e-03    2.5e-05
2580000      1.18e-01      4.13e-03      2.26e-02    2.5e-05
2582000      1.43e-02      1.41e-03      1.77e-03    2.5e-05
2584000      2.86e-02      2.00e-03      4.66e-03    2.5e-05
2586000      9.38e-03      7.15e-04      1.47e-03    2.5e-05
2588000      1.74e-02      1.16e-04      3.39e-03    2.5e-05
2590000      5.69e-02      3.15e-04      1.11e-02    2.5e-05
2592000      1.37e-01      9.32e-04      2.67e-02    2.5e-05
2594000      1.09e-01      1.43e-03      2.13e-02    2.5e-05
2596000      1.19e-02      2.76e-04      2.31e-03    2.5e-05
2598000      1.19e-01      3.80e-03      2.31e-02    2.5e-05
2600000      2.62e-02      2.23e-03      4.64e-03    2.4e-05
2602000      1.81e-02      3.08e-04      3.63e-03    2.4e-05
2604000      1.93e-02      3.91e-04      3.85e-03    2.4e-05
2606000      1.87e-02      2.70e-03      2.21e-03    2.4e-05
2608000      1.54e-02      7.90e-04      2.97e-03    2.4e-05
2610000      1.13e-01      6.61e-04      2.27e-02    2.4e-05
2612000      2.05e-02      3.21e-04      4.11e-03    2.4e-05
2614000      8.63e-03      8.13e-04      1.48e-03    2.4e-05
2616000      3.14e-02      3.20e-03      3.76e-03    2.4e-05
2618000      4.81e-02      4.04e-07      9.68e-03    2.4e-05
2620000      8.26e-02      6.04e-04      1.66e-02    2.4e-05
2622000      1.21e-02      1.52e-03      3.16e-04    2.4e-05
2624000      2.19e-02      1.45e-03      4.09e-03    2.4e-05
2626000      9.82e-02      4.91e-03      1.92e-02    2.4e-05
2628000      3.62e-02      3.20e-03      6.33e-03    2.4e-05
2630000      1.84e-01      4.03e-03      3.67e-02    2.4e-05
2632000      8.02e-02      1.62e-03      1.60e-02    2.4e-05
2634000      2.86e-02      2.23e-03      4.53e-03    2.4e-05
2636000      1.04e-01      3.66e-03      2.06e-02    2.4e-05
2638000      1.16e-02      1.26e-03      1.87e-03    2.4e-05
2640000      1.18e-01      2.14e-03      2.43e-02    2.2e-05
2642000      9.99e-03      1.27e-04      2.06e-03    2.2e-05
2644000      8.68e-03      5.93e-05      1.79e-03    2.2e-05
2646000      1.09e-01      2.96e-03      2.21e-02    2.2e-05
2648000      4.94e-02      5.69e-05      1.02e-02    2.2e-05
2650000      1.84e-02      1.80e-03      3.18e-03    2.2e-05
2652000      2.70e-02      1.78e-03      5.20e-03    2.2e-05
2654000      3.20e-02      2.23e-04      6.60e-03    2.2e-05
2656000      4.38e-03      1.32e-04      8.80e-04    2.2e-05
2658000      1.40e-02      2.00e-03      1.75e-03    2.2e-05
2660000      6.48e-03      4.21e-04      1.15e-03    2.2e-05
2662000      1.74e-02      2.10e-03      2.66e-03    2.2e-05
2664000      1.24e-02      4.83e-04      2.45e-03    2.2e-05
2666000      1.23e-01      1.99e-03      2.53e-02    2.2e-05
2668000      1.85e-01      3.95e-03      3.79e-02    2.2e-05
2670000      1.88e-01      4.71e-03      3.86e-02    2.2e-05
2672000      1.12e-01      1.29e-03      2.31e-02    2.2e-05
2674000      1.13e-01      6.06e-03      2.24e-02    2.2e-05
2676000      1.45e-02      4.44e-04      2.95e-03    2.2e-05
2678000      1.70e-02      1.04e-03      3.08e-03    2.2e-05
2680000      2.95e-02      4.94e-03      2.21e-03    2.1e-05
2682000      5.48e-02      1.06e-03      1.15e-02    2.1e-05
2684000      1.37e-01      4.05e-03      2.87e-02    2.1e-05
2686000      1.62e-01      2.08e-03      3.43e-02    2.1e-05
2688000      4.28e-03      9.11e-05      8.98e-04    2.1e-05
2690000      1.30e-01      3.37e-03      2.71e-02    2.1e-05
2692000      1.63e-01      7.48e-04      3.46e-02    2.1e-05
2694000      1.75e-02      1.85e-03      3.00e-03    2.1e-05
2696000      3.30e-02      3.50e-03      3.81e-03    2.1e-05
2698000      1.60e-01      3.43e-03      3.39e-02    2.1e-05
2700000      2.74e-02      3.11e-03      2.55e-03    2.1e-05
2702000      2.99e-02      3.22e-03      5.07e-03    2.1e-05
2704000      1.21e-01      6.20e-04      2.57e-02    2.1e-05
2706000      2.11e-01      8.48e-03      4.37e-02    2.1e-05
2708000      1.64e-01      2.01e-03      3.47e-02    2.1e-05
2710000      2.06e-02      1.72e-03      3.89e-03    2.1e-05
2712000      1.83e-02      2.54e-03      2.45e-03    2.1e-05
2714000      1.08e-01      1.41e-03      2.30e-02    2.1e-05
2716000      1.45e-02      1.03e-04      3.07e-03    2.1e-05
2718000      8.49e-03      1.02e-03      5.65e-04    2.1e-05
2720000      1.21e-01      3.38e-03      2.61e-02    2.0e-05
2722000      2.58e-02      3.25e-03      4.00e-03    2.0e-05
2724000      6.02e-03      1.41e-04      1.29e-03    2.0e-05
2726000      4.69e-02      2.95e-03      9.60e-03    2.0e-05
2728000      1.46e-01      5.16e-03      3.13e-02    2.0e-05
2730000      1.47e-01      1.12e-03      3.20e-02    2.0e-05
2732000      6.38e-02      1.93e-04      1.39e-02    2.0e-05
2734000      1.90e-02      4.89e-04      4.11e-03    2.0e-05
2736000      1.39e-01      1.74e-03      3.03e-02    2.0e-05
2738000      2.74e-02      3.97e-03      3.50e-03    2.0e-05
2740000      1.08e-01      1.57e-03      2.35e-02    2.0e-05
2742000      1.22e-01      3.52e-03      2.62e-02    2.0e-05
2744000      1.67e-02      1.36e-03      3.25e-03    2.0e-05
2746000      3.80e-02      2.45e-04      8.29e-03    2.0e-05
2748000      3.19e-02      1.01e-04      6.96e-03    2.0e-05
2750000      2.38e-02      1.26e-03      4.97e-03    2.0e-05
2752000      1.35e-01      3.10e-03      2.93e-02    2.0e-05
2754000      1.46e-02      1.50e-03      1.87e-03    2.0e-05
2756000      1.49e-02      1.85e-03      6.07e-04    2.0e-05
2758000      1.30e-02      1.23e-03      2.42e-03    2.0e-05
2760000      1.39e-02      6.12e-04      2.94e-03    1.9e-05
2762000      5.74e-02      8.69e-04      1.28e-02    1.9e-05
2764000      1.19e-01      2.11e-03      2.66e-02    1.9e-05
2766000      7.21e-02      9.08e-03      1.02e-03    1.9e-05
2768000      3.78e-02      4.98e-04      8.45e-03    1.9e-05
2770000      8.99e-03      2.62e-04      1.97e-03    1.9e-05
2772000      4.68e-03      1.69e-04      1.01e-03    1.9e-05
2774000      4.36e-02      3.02e-04      9.78e-03    1.9e-05
2776000      1.93e-02      1.99e-03      2.50e-03    1.9e-05
2778000      1.76e-02      1.52e-03      3.46e-03    1.9e-05
2780000      1.13e-01      4.27e-03      2.49e-02    1.9e-05
2782000      5.25e-02      4.99e-03      1.05e-02    1.9e-05
2784000      2.38e-02      5.19e-04      5.26e-03    1.9e-05
2786000      1.75e-02      2.29e-03      2.68e-03    1.9e-05
2788000      1.23e-01      4.43e-03      2.71e-02    1.9e-05
2790000      1.86e-02      1.72e-03      2.85e-03    1.9e-05
2792000      1.67e-02      2.08e-03      2.68e-03    1.9e-05
2794000      4.74e-02      6.81e-03      6.33e-03    1.9e-05
2796000      2.20e-02      1.23e-03      4.70e-03    1.9e-05
2798000      6.03e-02      1.01e-03      1.35e-02    1.9e-05
2800000      1.76e-01      3.11e-03      4.05e-02    1.8e-05
2802000      3.50e-02      1.94e-03      7.26e-03    1.8e-05
2804000      1.10e-01      5.68e-04      2.54e-02    1.8e-05
2806000      1.80e-02      1.95e-03      2.09e-03    1.8e-05
2808000      4.68e-02      1.05e-03      1.07e-02    1.8e-05
2810000      1.53e-02      6.48e-04      3.44e-03    1.8e-05
2812000      1.75e-02      4.71e-04      3.96e-03    1.8e-05
2814000      8.69e-03      4.65e-04      1.82e-03    1.8e-05
2816000      2.18e-02      1.49e-03      4.65e-03    1.8e-05
2818000      1.11e-01      6.93e-04      2.56e-02    1.8e-05
2820000      1.17e-02      1.42e-03      1.97e-03    1.8e-05
2822000      7.45e-02      1.98e-03      1.68e-02    1.8e-05
2824000      1.14e-01      4.67e-03      2.57e-02    1.8e-05
2826000      1.02e-01      2.42e-03      2.33e-02    1.8e-05
2828000      1.39e-01      3.83e-03      3.17e-02    1.8e-05
2830000      5.59e-02      1.24e-04      1.29e-02    1.8e-05
2832000      6.79e-02      1.71e-03      1.55e-02    1.8e-05
2834000      1.09e-01      9.16e-04      2.52e-02    1.8e-05
2836000      1.77e-02      6.38e-04      4.00e-03    1.8e-05
2838000      2.19e-02      1.42e-03      4.70e-03    1.8e-05
2840000      9.34e-03      1.15e-03      4.65e-04    1.7e-05
2842000      1.08e-02      8.70e-04      1.97e-03    1.7e-05
2844000      6.77e-02      5.34e-03      1.48e-02    1.7e-05
2846000      1.30e-01      1.34e-03      3.08e-02    1.7e-05
2848000      1.81e-02      4.55e-04      4.21e-03    1.7e-05
2850000      1.34e-01      4.67e-03      3.14e-02    1.7e-05
2852000      1.47e-02      2.96e-04      3.47e-03    1.7e-05
2854000      1.06e-02      1.06e-03      1.52e-03    1.7e-05
2856000      1.43e-01      2.91e-03      3.36e-02    1.7e-05
2858000      4.88e-02      1.12e-03      1.14e-02    1.7e-05
2860000      9.71e-02      3.88e-03      2.24e-02    1.7e-05
2862000      4.54e-03      1.07e-04      1.06e-03    1.7e-05
2864000      2.29e-02      1.85e-03      4.83e-03    1.7e-05
2866000      4.73e-02      3.09e-04      1.12e-02    1.7e-05
2868000      1.05e-02      2.35e-04      2.46e-03    1.7e-05
2870000      9.94e-02      1.52e-03      2.35e-02    1.7e-05
2872000      8.50e-03      4.41e-04      1.93e-03    1.7e-05
2874000      6.39e-02      1.85e-03      1.48e-02    1.7e-05
2876000      1.22e-01      1.69e-03      2.89e-02    1.7e-05
2878000      9.55e-02      2.39e-03      2.25e-02    1.7e-05
2880000      1.36e-01      2.95e-03      3.29e-02    1.6e-05
2882000      1.59e-02      9.01e-04      3.47e-03    1.6e-05
2884000      1.53e-02      9.06e-04      3.51e-03    1.6e-05
2886000      1.69e-02      2.39e-03      2.49e-03    1.6e-05
2888000      8.84e-02      1.19e-03      2.15e-02    1.6e-05
2890000      1.38e-02      2.06e-04      3.34e-03    1.6e-05
2892000      1.86e-02      2.26e-03      1.13e-03    1.6e-05
2894000      1.57e-02      1.21e-03      3.03e-03    1.6e-05
2896000      1.41e-01      2.59e-03      3.42e-02    1.6e-05
2898000      6.59e-02      1.55e-03      1.58e-02    1.6e-05
2900000      1.27e-01      3.27e-03      3.08e-02    1.6e-05
2902000      9.87e-02      3.36e-03      2.37e-02    1.6e-05
2904000      7.89e-03      3.20e-04      1.82e-03    1.6e-05
2906000      1.10e-02      7.24e-04      2.29e-03    1.6e-05
2908000      1.42e-02      4.17e-04      3.41e-03    1.6e-05
2910000      1.30e-01      1.24e-03      3.16e-02    1.6e-05
2912000      8.14e-03      8.31e-04      1.16e-03    1.6e-05
2914000      1.53e-02      3.56e-06      3.72e-03    1.6e-05
2916000      2.48e-02      1.83e-03      5.50e-03    1.6e-05
2918000      1.35e-01      4.51e-03      3.24e-02    1.6e-05
2920000      6.97e-02      2.41e-03      1.71e-02    1.5e-05
2922000      7.03e-03      2.51e-04      1.69e-03    1.5e-05
2924000      1.56e-02      2.48e-04      3.87e-03    1.5e-05
2926000      2.72e-02      1.10e-03      6.64e-03    1.5e-05
2928000      1.60e-02      8.50e-04      3.83e-03    1.5e-05
2930000      1.04e-01      3.56e-03      2.56e-02    1.5e-05
2932000      7.97e-03      7.05e-04      1.42e-03    1.5e-05
2934000      1.03e-01      1.86e-03      2.58e-02    1.5e-05
2936000      1.21e-01      2.05e-03      3.01e-02    1.5e-05
2938000      6.15e-03      7.85e-04      1.08e-03    1.5e-05
2940000      2.51e-02      2.40e-03      5.30e-03    1.5e-05
2942000      1.75e-02      7.23e-04      4.13e-03    1.5e-05
2944000      2.44e-02      3.78e-03      3.04e-03    1.5e-05
2946000      1.46e-02      1.72e-03      2.73e-03    1.5e-05
2948000      1.96e-02      1.40e-03      4.05e-03    1.5e-05
2950000      5.77e-02      6.35e-04      1.44e-02    1.5e-05
2952000      1.88e-02      1.20e-03      4.39e-03    1.5e-05
2954000      9.14e-03      4.77e-04      2.08e-03    1.5e-05
2956000      3.96e-02      9.61e-04      9.83e-03    1.5e-05
2958000      7.26e-02      1.86e-03      1.80e-02    1.5e-05
2960000      1.85e-02      9.33e-04      4.35e-03    1.4e-05
2962000      1.14e-01      3.92e-04      2.93e-02    1.4e-05
2964000      1.20e-01      2.74e-03      3.05e-02    1.4e-05
2966000      3.21e-02      1.42e-03      7.73e-03    1.4e-05
2968000      2.11e-02      8.34e-04      5.16e-03    1.4e-05
2970000      1.94e-02      1.33e-03      4.60e-03    1.4e-05
2972000      1.19e-02      1.47e-03      5.90e-04    1.4e-05
2974000      1.18e-01      5.29e-03      2.83e-02    1.4e-05
2976000      1.74e-02      1.25e-03      4.11e-03    1.4e-05
2978000      1.04e-01      5.26e-04      2.68e-02    1.4e-05
2980000      1.48e-02      1.26e-03      2.81e-03    1.4e-05
2982000      4.91e-02      1.06e-03      1.25e-02    1.4e-05
2984000      1.58e-02      5.99e-04      3.98e-03    1.4e-05
2986000      4.23e-02      1.49e-03      1.05e-02    1.4e-05
2988000      6.48e-02      2.99e-05      1.67e-02    1.4e-05
2990000      6.36e-03      7.43e-04      6.13e-04    1.4e-05
